date,year,month,day,open,close,high,low,volume,money,rt,rv,rk,rk2
2011/7/13,2011,7,13,1111.43,1132.6,1132.6,1111.43,303359000,4560675098,0.28198166,0.07951366,3.91E-05,2.05E-05
2011/7/14,2011,7,14,1133.6,1144.26,1144.26,1128.82,372200300,5708989946,1.26426013,1.59835368,6.93E-05,3.57E-05
2011/7/15,2011,7,15,1142.29,1147.35,1147.91,1137.27,340615500,5582806527,0.52360827,0.27416562,4.29E-05,2.41E-05
2011/7/18,2011,7,18,1149.43,1146.72,1152.99,1142.91,406608900,6287156568,0.16810122,0.02825802,4.79E-05,3.39E-05
2011/7/19,2011,7,19,1141.98,1133.57,1141.98,1128.52,356620900,5578403593,-0.6034184,0.36411379,5.53E-05,4.14E-05
2011/7/20,2011,7,20,1144.38,1134.31,1148.69,1127.83,412643400,6007939996,-0.2926737,0.0856579,7.28E-05,4.71E-05
2011/7/21,2011,7,21,1134,1116.41,1134.97,1116.17,288734800,4057468635,-1.0746541,1.15488148,5.13E-05,2.94E-05
2011/7/22,2011,7,22,1118.18,1117.87,1124.44,1114.42,236548900,3548412911,-0.6221753,0.38710214,3.27E-05,2.07E-05
2011/7/25,2011,7,25,1113.98,1070.12,1113.98,1065.88,408843500,5480870559,-1.9079239,3.64017369,0.00024446,0.00013529
2011/7/26,2011,7,26,1069.72,1072.85,1074.52,1063.48,232874400,3204107407,-1.6338388,2.66942929,6.48E-05,5.80E-05
2011/7/27,2011,7,27,1067.45,1085.86,1086.09,1064.19,284846900,3945392118,0.65037195,0.42298368,0.0001049,4.81E-05
2011/7/28,2011,7,28,1076.81,1079.82,1080.76,1070.02,253216000,3577725583,0.50038254,0.25038269,8.44E-05,4.81E-05
2011/7/29,2011,7,29,1079.27,1069.76,1083.27,1065.13,231656500,3212922128,-0.2852725,0.0813804,0.00013685,5.84E-05
2011/8/1,2011,8,1,1070.28,1075.41,1078.96,1068.25,211068000,3123210726,-0.1556034,0.02421244,4.03E-05,2.50E-05
2011/8/2,2011,8,2,1072.53,1072.07,1072.66,1056.5,272959600,4086617668,0.07257332,0.00526688,0.00015371,6.59E-05
2011/8/3,2011,8,3,1063.24,1072.61,1075.45,1059.89,244267200,3742207593,0.00323928,1.05E-05,8.50E-05,4.87E-05
2011/8/4,2011,8,4,1076.01,1078.55,1082.95,1074.38,211729800,3375466916,0.62089763,0.38551387,2.44E-05,1.67E-05
2011/8/5,2011,8,5,1048.13,1054.89,1061.33,1041.02,276321600,3951792601,-0.8609132,0.74117155,6.77E-05,3.05E-05
2011/8/8,2011,8,8,1040.23,1010.3,1045.59,986.91,411414700,5714347309,-1.5964798,2.54874798,0.0009987,0.00062228
2011/8/9,2011,8,9,980.72,998.96,1005.8,960.6,351878600,4662873691,-1.7581275,3.09101261,0.00033498,0.00020231
2011/8/10,2011,8,10,1013.09,1008.38,1021.35,1006.58,317301700,4557702029,1.20791913,1.45906863,7.19E-05,3.85E-05
2011/8/11,2011,8,11,987.43,1019.96,1020.14,985.19,273221900,4071108538,0.29351117,0.0861488,0.00025675,0.00014249
2011/8/12,2011,8,12,1027.72,1027.99,1036.2,1026.37,299054300,4350530131,1.74825722,3.05640331,5.28E-05,2.02E-05
2011/8/15,2011,8,15,1031.7,1043.49,1043.53,1029.23,275158800,4035103970,0.66134832,0.4373816,7.28E-05,4.22E-05
2011/8/16,2011,8,16,1046.44,1039.14,1050.97,1036.86,297204700,3954556063,0.3120632,0.09738344,5.83E-05,2.78E-05
2011/8/17,2011,8,17,1037.16,1034.45,1041.66,1031.48,192665400,2805119173,-0.5004828,0.25048305,4.95E-05,2.22E-05
2011/8/18,2011,8,18,1035,1019.25,1035.99,1017.93,222570300,2982536679,-0.7565038,0.57229813,6.02E-05,3.28E-05
2011/8/19,2011,8,19,1000.04,1008.45,1008.45,996.85,209791000,2684309712,-1.1285979,1.27373332,8.14E-05,4.49E-05
2011/8/22,2011,8,22,1008.65,1003.48,1019.08,1000.65,226798600,3046261764,0.14913497,0.02224124,0.0001181,7.02E-05
2011/8/23,2011,8,23,1004.38,1013.45,1013.45,1000.74,195614600,2643817474,0.20618341,0.0425116,8.04E-05,3.73E-05
2011/8/24,2011,8,24,1019.71,1011.4,1023.86,1010.18,216435900,3179120531,0.30248931,0.09149978,5.42E-05,2.92E-05
