date,open,close,high,low,volume,money,rt1,year,month,day,rk,rt,rv,rk_twoscale
2011/1/26,1214.71,1232.42,1232.46,1214.71,783561200,10790414488,0.006375522,2011,1,26,8.41E-05,0.6375522,0.406472808,3.36E-05
2011/1/27,1220.44,1251,1255.6,1211.98,1746217200,22460554210,0.006498572,2011,1,27,2.19E-04,0.6498572,0.42231438,8.52E-05
2011/1/28,1248.87,1259.91,1264.06,1246.87,1437469800,19596679893,0.003082213,2011,1,28,7.72E-05,0.3082213,0.09500037,3.61E-05
2011/1/31,1257.12,1274.7,1275,1255.45,1328149200,17719374100,0.005068463,2011,1,31,5.98E-05,0.5068463,0.256893172,3.08E-05
2011/2/1,1275.86,1271.89,1278.49,1268.32,987948800,13792560756,-0.000958433,2011,2,1,3.41E-05,-0.0958433,0.009185938,1.63E-05
2011/2/9,1261.51,1270.09,1280.05,1259.79,1206818200,16341993850,-0.000615056,2011,2,9,1.59E-04,-0.0615056,0.003782939,8.46E-05
2011/2/10,1268.26,1305.15,1305.84,1266.97,1475278600,21973307873,0.011825931,2011,2,10,1.68E-04,1.1825931,1.39852644,8.86E-05
2011/2/11,1303.47,1312.29,1318.58,1300.54,1805847200,27404936427,0.002369392,2011,2,11,1.13E-04,0.2369392,0.056140184,5.77E-05
2011/2/14,1315.45,1342.13,1346.15,1315.45,2493081100,35508949749,0.009764765,2011,2,14,8.16E-05,0.9764765,0.953506355,3.94E-05
2011/2/15,1342.81,1338.39,1355.02,1337.53,2093244300,30492291126,-0.001211901,2011,2,15,8.53E-05,-0.1211901,0.01468704,4.42E-05
2011/2/16,1336.94,1354.3,1354.3,1330.84,1950445100,27575035413,0.005132195,2011,2,16,9.83E-05,0.5132195,0.263394255,3.96E-05
2011/2/17,1357.46,1358.52,1361.28,1344.06,1847750800,29255442086,0.001351158,2011,2,17,8.34E-05,0.1351158,0.018256279,4.10E-05
2011/2/18,1357.1,1343.75,1357.1,1340.31,1534006100,25132746275,-0.004747559,2011,2,18,8.65E-05,-0.4747559,0.225393165,3.69E-05
2011/2/21,1335.79,1373.73,1373.91,1334.29,1738108600,26417206245,0.009582905,2011,2,21,1.01E-04,0.9582905,0.918320682,4.69E-05
2011/2/22,1377.76,1338.3,1379.32,1337.3,2230215600,36328503310,-0.011347905,2011,2,22,2.74E-04,-1.1347905,1.287749479,1.40E-04
2011/2/23,1333.38,1344.43,1347.9,1330.57,1318814400,21472463104,0.001984717,2011,2,23,1.17E-04,0.1984717,0.039391016,7.26E-05
2011/2/24,1339.8,1347.33,1351.22,1334.35,1245640700,19290765158,0.000935785,2011,2,24,1.05E-04,0.0935785,0.008756936,5.62E-05
2011/2/25,1347.45,1351.42,1356.71,1336.38,1188444000,19144965211,0.001316362,2011,2,25,9.43E-05,0.1316362,0.017328089,4.28E-05
2011/2/28,1353.83,1376.11,1376.24,1345.6,1972544100,30244398252,0.007862809,2011,2,28,1.20E-04,0.7862809,0.618237654,6.86E-05
2011/3/1,1378.54,1382.44,1389.73,1373.87,2014924300,31125083176,0.001993141,2011,3,1,7.78E-05,0.1993141,0.03972611,4.91E-05
2011/3/2,1374.6,1379.09,1381.4,1357.77,1793531900,28814718681,-0.001053682,2011,3,2,1.93E-04,-0.1053682,0.011102458,7.82E-05
